p1_x,p1_y,p1_x_speed,p1_y_speed,p1_gravity,p1_dir,p1_left,p1_right,p1_up,p1_down,p1_a,p1_b,p1_c,p1_d,p1_ab,p1_bc,p1_comb,p1_hp,p1_spirit,p1_untech,p1_card,p2_x,p2_y,p2_x_speed,p2_y_speed,p2_gravity,p2_dir,p2_left,p2_right,p2_up,p2_down,p2_a,p2_b,p2_c,p2_d,p2_ab,p2_bc,p2_comb,p2_hp,p2_spirit,p2_untech,p2_card
425.5,0.0,0.0,0.0,0.0,4294967041,False,False,False,False,0,0,0,0,0,0,0,10000,1000,0,0,464.5,0.0,7.0,0.0,0.0,444560383,False,False,False,False,0,0,0,0,0,0,0,10000,1000,0,0
416.5,0.0,0.0,0.0,0.0,4294967041,False,False,False,False,0,0,0,0,0,0,0,10000,1000,0,0,455.5,0.0,5.5,0.0,0.0,444560383,False,False,False,False,0,0,0,0,0,0,0,10000,1000,0,0
409.75,0.0,0.0,0.0,0.0,4294967041,False,False,False,False,0,0,0,0,0,0,0,10000,1000,0,0,448.75,0.0,4.0,0.0,0.0,444560383,False,False,False,False,0,0,0,0,0,0,0,10000,1000,0,0
406.5,0.0,0.0,0.0,0.0,4294967041,False,False,False,False,0,0,0,0,0,0,0,10000,1000,0,0,445.5,0.0,0.0,0.0,0.0,444560383,False,False,False,False,0,0,0,0,0,0,0,10000,1000,0,0
406.5,0.0,0.0,0.0,0.0,4294967041,False,False,False,False,0,0,0,0,0,0,0,10000,1000,0,0,445.5,0.0,0.0,0.0,0.0,444560383,False,False,False,False,0,0,0,0,0,0,0,10000,1000,0,0
406.5,0.0,0.0,0.0,0.0,4294967041,False,False,False,False,0,0,0,0,0,0,0,10000,1000,0,0,445.5,0.0,0.0,0.0,0.0,444560383,False,False,False,False,0,0,0,0,0,0,0,10000,1000,0,0
406.5,0.0,0.0,0.0,0.0,4294967041,False,False,False,False,0,0,0,0,0,0,0,10000,1000,0,0,445.5,0.0,0.0,0.0,0.0,444560383,False,False,False,False,0,0,0,0,0,0,0,10000,1000,0,0
406.5,0.0,0.0,0.0,0.0,4294967041,False,False,False,False,0,0,0,0,0,0,0,10000,1000,0,0,445.5,0.0,0.0,0.0,0.0,444560383,False,False,False,False,0,0,0,0,0,0,0,10000,1000,0,0
400.5,0.0,-6.0,0.0,0.0,4294967041,True,False,False,False,0,0,0,0,0,0,0,10000,1000,0,0,445.5,0.0,0.0,0.0,0.0,444560383,False,False,False,False,0,0,0,0,0,0,0,10000,1000,0,0
382.5,0.0,-6.0,0.0,0.0,4294967041,True,False,False,False,0,0,0,0,0,0,0,10000,1000,0,0,445.5,0.0,0.0,0.0,0.0,444560383,False,False,False,False,0,0,0,0,0,0,0,10000,1000,0,0
